ART,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-11-25,23,20,17,20,18,16,100,84,52,1015,1012,1008,14,8,2,45,19,69,10.92,7,Rain-Thunderstorm,144
2013-11-26,22,19,17,19,18,16,100,90,78,1015,1012,1008,11,8,3,29,16,,17.02,7,Rain-Thunderstorm,128
2013-11-27,25,20,14,19,15,12,100,82,48,1010,1008,1005,14,11,6,39,18,48,2.03,6,Rain-Thunderstorm,175
2013-11-28,29,20,12,16,13,11,100,67,24,1012,1010,1008,14,11,9,19,6,,0.00,2,Fog,293
2013-11-29,30,22,15,16,14,12,88,64,28,1014,1013,1012,14,13,10,16,8,,0.00,4,,254
2013-11-30,31,23,16,17,14,10,96,43,21,1015,1012,1010,14,14,10,24,13,,0.00,,,31
2013-12-1,32,24,18,19,17,14,88,59,29,1012,1010,1007,14,12,10,21,8,,0.00,1,,49
2013-12-2,34,27,19,23,19,14,100,72,21,1009,1007,1002,14,9,1,53,13,82,0.00,4,Fog-Rain-Thunderstorm,331
2013-12-3,25,20,14,18,11,7,83,52,22,1016,1012,1009,14,13,10,29,14,50,0.00,2,,111
2013-12-4,34,24,15,23,14,12,88,62,25,1009,1005,999,14,12,10,27,6,,0.00,,,354
2013-12-5,31,24,18,16,13,9,66,42,23,1012,1008,1004,26,15,9,27,18,,3.05,8,Rain-Thunderstorm,94
2013-12-6,26,21,17,16,12,10,73,53,28,1014,1012,1009,14,13,10,27,19,,0.00,6,,81
2013-12-7,31,23,15,18,16,13,94,59,30,1011,1009,1005,14,13,10,32,11,,0.00,8,,19
2013-12-8,35,28,20,21,19,17,100,64,33,1010,1005,998,14,9,0,74,19,111,45.97,5,Rain-Thunderstorm,17
2013-12-9,27,23,19,20,18,17,97,73,42,1017,1009,1001,14,11,10,47,23,64,0.00,6,Rain,140
2013-12-10,26,20,14,17,14,13,94,69,38,1021,1019,1017,14,12,10,21,14,,0.00,3,,128
2013-12-11,29,23,17,18,16,15,94,64,34,1018,1015,1011,14,11,10,16,10,,0.00,2,,70
2013-12-12,29,23,18,17,16,13,88,57,31,1013,1011,1008,14,14,10,11,8,,0.00,8,,52
2013-12-13,32,24,18,19,17,13,94,59,24,1009,1007,1004,14,12,9,16,5,,0.00,1,,29
2013-12-14,33,27,19,20,18,14,88,58,28,1010,1008,1007,14,12,10,19,5,,0.00,1,,47
2013-12-15,35,27,19,21,19,17,88,60,29,1012,1010,1008,14,11,7,13,5,,0.00,,,174
2013-12-16,36,28,20,22,19,13,88,56,26,1013,1010,1007,14,10,8,19,6,,0.00,1,,53
2013-12-17,36,29,22,21,19,16,83,60,33,1009,1007,1004,14,11,6,21,8,47,2.03,7,Rain-Thunderstorm,78
2013-12-18,34,28,22,21,18,17,83,57,27,1010,1008,1007,14,10,5,24,13,,0.00,6,Rain,110
2013-12-19,33,28,23,22,19,11,94,60,22,1011,1009,1007,14,12,10,24,18,,0.00,6,,102
2013-12-20,33,28,22,22,19,15,83,58,29,1011,1009,1007,14,13,10,27,13,,0.00,1,,87
2013-12-21,34,29,23,22,20,17,78,57,30,1011,1009,1007,14,13,10,19,13,,0.00,1,,74
2013-12-22,36,29,23,21,19,16,83,52,24,1012,1010,1009,14,13,10,23,14,,0.00,1,,83
2013-12-23,36,29,23,20,19,17,83,49,23,1012,1010,1007,14,13,10,16,10,,0.00,1,,71
2013-12-24,37,30,23,21,17,14,69,43,19,1009,1006,1004,14,14,11,16,10,,0.00,,,31
2013-12-25,37,30,22,23,18,11,88,51,13,1006,1005,1003,14,13,9,23,6,,0.00,,,33
2013-12-26,38,31,24,24,21,16,84,58,33,1009,1006,1004,14,11,6,37,10,77,3.05,7,Rain-Thunderstorm,43
2013-12-27,31,26,22,23,21,17,88,68,51,1013,1010,1007,14,10,9,26,13,,2.03,7,Rain-Thunderstorm,160
2013-12-28,33,28,23,26,22,15,94,71,35,1011,1007,1003,14,9,6,53,8,77,0.00,6,Rain-Thunderstorm,339
2013-12-29,35,29,22,24,20,18,83,63,30,1006,1003,1000,14,12,9,24,10,,0.00,8,,249
2013-12-30,37,29,21,24,21,18,94,61,30,1002,1000,997,14,12,10,16,6,,0.00,4,,346
2013-12-31,27,24,21,21,18,12,88,70,28,1008,1004,1000,14,11,8,34,16,66,0.00,7,Rain-Thunderstorm,101
2014-1-1,34,28,21,22,21,20,100,68,37,1005,1003,1000,14,9,1,14,6,,0.00,3,Fog,60
2014-1-2,26,22,18,21,18,13,100,76,38,1008,1003,996,14,10,5,50,13,42,9.91,6,Rain-Thunderstorm,161
2014-1-3,28,21,14,13,9,4,68,47,17,1017,1014,1009,14,14,10,23,11,,0.00,6,,174
2014-1-4,32,23,14,16,13,11,88,54,23,1018,1015,1012,14,14,14,32,10,,0.00,,,346
2014-1-5,34,26,17,18,16,12,94,55,18,1014,1012,1010,14,14,11,24,10,,0.00,,,340
2014-1-6,36,27,19,24,19,17,92,60,35,1011,1008,1004,14,12,10,24,10,,0.00,1,,23
2014-1-7,35,28,20,24,22,19,94,76,43,1007,1005,1004,14,11,5,37,11,58,8.89,3,Rain-Thunderstorm,13
2014-1-8,31,24,18,21,19,18,100,81,40,1012,1010,1008,14,6,0,14,6,,0.00,4,Fog,118
2014-1-9,33,27,21,24,22,20,94,74,52,1009,1006,1002,14,10,5,35,10,,0.00,6,Fog,31
2014-1-10,31,25,19,23,19,17,89,63,38,1010,1007,1004,14,11,8,37,14,66,2.03,6,Rain-Thunderstorm,94
2014-1-11,28,22,17,22,12,7,94,49,18,1021,1016,1010,14,14,10,27,16,,0.00,6,Thunderstorm,145
2014-1-12,26,20,14,11,10,6,77,49,25,1025,1021,1018,14,14,14,24,18,,0.00,,,83
2014-1-13,31,23,16,20,16,10,94,61,36,1020,1016,1013,14,12,10,19,10,,0.00,4,,70
2014-1-14,32,26,19,20,18,17,88,59,32,1015,1013,1009,14,12,10,14,11,,0.00,2,,58
2014-1-15,35,28,20,21,19,18,83,58,29,1012,1011,1008,14,13,10,23,8,,0.00,3,,27
2014-1-16,37,29,21,23,19,16,78,52,22,1011,1009,1007,14,12,9,21,10,,0.00,1,,5
2014-1-17,37,28,20,21,18,14,89,52,18,1010,1008,1007,14,12,9,23,10,,0.00,,,8
2014-1-18,38,31,24,23,20,16,74,51,18,1010,1008,1005,14,12,10,27,10,,0.00,2,,353
2014-1-19,34,29,24,22,21,19,78,60,41,1012,1009,1007,14,12,10,23,11,,0.00,5,,87
2014-1-20,37,30,23,24,22,20,88,60,34,1009,1004,999,14,12,10,26,13,,0.00,2,,6
2014-1-21,32,29,25,24,22,19,79,68,50,1004,1002,999,14,11,5,26,16,,0.00,5,Rain-Thunderstorm,55
2014-1-22,38,30,23,25,23,21,94,65,34,1004,1002,999,14,13,10,26,18,,0.00,2,,38
2014-1-23,39,34,29,25,23,22,70,53,30,1002,999,994,14,11,10,40,19,,7.87,5,,356
2014-1-24,22,19,16,24,16,10,100,74,44,1020,1010,997,14,10,4,40,24,64,13.97,6,Rain-Thunderstorm,173
2014-1-25,23,17,11,11,8,2,94,53,20,1024,1021,1017,14,12,10,19,13,,0.00,2,,117
2014-1-26,28,21,14,17,13,11,88,59,32,1018,1014,1011,14,14,10,19,6,,0.00,1,,84
2014-1-27,31,26,21,23,20,17,100,72,52,1013,1010,1008,14,10,8,21,11,,7.87,7,Rain,358
2014-1-28,28,24,22,23,22,21,100,89,62,1012,1008,1006,14,9,1,23,11,,20.07,7,Rain-Thunderstorm,330
2014-1-29,29,24,20,23,21,20,100,80,52,1014,1012,1009,14,11,5,13,8,,0.00,7,,151
2014-1-30,31,26,21,23,22,20,100,80,48,1011,1009,1006,11,9,3,16,8,,0.00,3,Fog,338
2014-1-31,34,28,22,24,23,21,100,78,41,1008,1006,1003,14,9,1,24,14,,0.00,5,,328
2014-2-1,28,24,22,24,21,20,89,76,56,1008,1006,1003,14,11,10,34,14,,13.97,5,Rain,60
2014-2-2,26,21,16,21,20,16,100,88,67,1009,1005,1002,14,9,2,39,18,66,7.87,6,Rain-Thunderstorm,96
2014-2-3,25,22,19,21,20,19,100,87,69,1009,1007,1003,14,10,4,47,16,71,24.89,7,Rain-Thunderstorm,69
2014-2-4,27,23,20,21,21,20,100,88,60,1009,1007,1005,11,9,3,24,11,,2.03,6,Rain-Thunderstorm,58
2014-2-5,34,27,21,29,23,20,100,82,56,1006,1004,1001,14,9,1,27,11,40,23.11,2,Rain-Thunderstorm,57
2014-2-6,20,18,16,23,18,14,100,92,82,1015,1011,1006,14,8,1,37,21,55,28.96,6,Rain-Thunderstorm,120
2014-2-7,29,24,19,25,22,19,100,89,66,1009,1007,1005,14,7,0,16,8,,0.00,5,Fog-Rain,165
2014-2-8,35,30,24,26,24,22,100,74,41,1007,1004,1001,11,9,3,29,11,37,0.00,1,,29
2014-2-9,24,22,19,22,21,17,100,91,79,1013,1010,1004,14,9,2,35,11,53,3.05,7,Rain-Thunderstorm,123
2014-2-10,28,24,21,23,22,20,100,90,67,1014,1012,1010,14,9,6,19,8,,114.05,6,Rain-Thunderstorm,72
2014-2-11,25,22,19,23,21,18,100,94,83,1013,1010,1007,14,9,1,37,10,,17.02,5,Fog-Rain-Thunderstorm,108
2014-2-12,29,23,18,22,21,19,100,86,55,1012,1010,1008,14,5,0,11,3,,0.00,5,Fog,100
2014-2-13,28,24,20,22,19,18,94,77,49,1019,1015,1012,14,10,6,26,13,,3.05,3,Rain,124
2014-2-14,25,22,18,18,14,12,83,63,38,1025,1023,1020,14,11,10,29,23,47,0.00,4,,99
2014-2-15,26,21,17,16,14,13,88,62,38,1026,1023,1019,14,12,10,27,21,,0.00,4,,82
2014-2-16,25,22,18,21,18,16,94,77,61,1021,1018,1016,14,11,9,26,18,,1.02,8,Rain,79
2014-2-17,26,23,20,22,20,19,100,83,57,1018,1016,1015,14,10,5,14,8,,3.05,8,Rain-Thunderstorm,104
2014-2-18,28,24,21,23,21,20,100,86,61,1015,1013,1009,11,9,6,14,6,,0.51,8,Rain-Thunderstorm,87
2014-2-19,29,25,21,22,21,19,100,79,52,1012,1011,1008,14,11,8,14,6,,0.00,5,,24
2014-2-20,30,26,21,23,21,20,100,81,45,1011,1009,1008,14,9,1,10,5,,0.00,6,Fog,1
2014-2-21,29,24,19,21,20,17,100,85,50,1014,1011,1009,14,9,5,21,6,,0.76,6,Fog-Rain,168
2014-2-22,25,22,19,20,19,19,100,86,63,1015,1014,1012,11,10,9,21,10,,2.03,7,Rain,168
2014-2-23,29,22,16,20,18,16,100,80,50,1013,1010,1007,14,8,1,10,5,,0.00,1,,134
2014-2-24,29,22,16,20,17,15,100,75,35,1015,1011,1008,14,8,1,19,5,,0.76,6,Fog-Rain,130
2014-2-25,22,18,15,17,13,10,83,68,48,1020,1018,1015,14,11,5,24,21,,0.00,8,Rain,143
2014-2-26,22,17,12,13,11,8,90,67,31,1021,1019,1018,14,12,10,23,10,,0.00,4,,163
2014-2-27,25,18,11,15,12,10,88,69,42,1020,1017,1015,14,11,9,13,8,,0.00,3,,126
2014-2-28,26,19,11,16,12,-12,100,67,9,1016,1013,1011,14,9,5,13,3,,0.00,2,Fog,34
2014-3-1,28,21,14,17,14,13,100,67,32,1014,1013,1011,14,10,6,13,6,,0.00,3,,84
2014-3-2,26,22,18,17,15,12,83,64,32,1016,1015,1013,14,12,10,19,8,,0.00,5,,111
2014-3-3,25,21,17,18,17,1,100,80,30,1017,1015,1012,14,10,5,21,10,,7.11,8,Rain,131
2014-3-4,26,21,16,19,17,15,100,86,54,1014,1011,1009,14,12,10,24,6,,0.76,6,Rain-Thunderstorm,251
2014-3-5,29,22,16,19,17,15,94,71,39,1013,1011,1010,14,11,0,158,31,,0.00,,,257
2014-3-6,24,19,14,19,15,13,94,74,49,1017,1016,1013,14,10,9,16,6,,0.00,7,Fog-Rain,180
2014-3-7,28,19,11,16,13,9,100,69,23,1018,1016,1014,14,9,6,14,6,,0.00,1,Fog,312
2014-3-8,28,20,12,14,11,7,95,57,18,1016,1014,1010,14,11,8,14,5,,0.00,,Fog,15
2014-3-9,25,19,14,18,14,11,94,75,44,1013,1010,1008,14,10,5,27,10,,11.94,7,Rain-Thunderstorm,89
2014-3-10,23,17,11,16,12,7,100,78,26,1016,1014,1012,14,8,1,19,6,,0.00,6,Fog,168
2014-3-11,26,18,9,13,10,5,100,66,22,1016,1015,1013,14,12,11,13,5,,0.00,,,348
2014-3-12,30,21,12,17,13,12,94,62,24,1017,1014,1012,14,12,9,23,8,,0.00,,Fog,9
2014-3-13,30,23,17,18,16,13,83,58,38,1016,1014,1010,14,14,14,24,16,,0.00,,,43
2014-3-14,21,19,17,21,18,15,100,88,62,1010,1005,1000,14,7,1,40,16,60,68.07,8,Rain-Thunderstorm,2
2014-3-15,27,21,14,16,14,10,100,70,25,1010,1008,1005,14,14,10,19,11,,0.00,1,,263
2014-3-16,29,21,14,19,16,10,94,70,38,1009,1004,1001,14,12,10,24,5,,0.00,3,,1
2014-3-17,25,21,17,19,13,8,100,62,23,1017,1010,1005,14,14,11,23,8,,0.00,,,173
2014-3-18,19,15,11,12,10,8,94,69,39,1022,1019,1017,14,11,8,19,14,,7.11,7,Rain,148
2014-3-19,21,17,12,14,13,11,100,79,47,1020,1015,1013,14,10,6,14,10,,1.02,7,Rain,142
2014-3-20,26,19,13,16,14,13,100,78,37,1013,1008,1002,14,9,0,16,5,,0.00,1,Fog,332
2014-3-21,22,17,11,15,9,3,100,66,20,1022,1011,1003,14,11,9,32,13,52,0.00,6,,186
2014-3-22,23,14,6,9,6,4,93,60,21,1027,1024,1021,14,14,11,11,5,,0.00,,,311
2014-3-23,25,17,8,13,9,7,94,64,26,1022,1018,1015,14,12,8,27,8,,0.00,,Fog,360
2014-3-24,26,18,9,14,12,10,100,74,26,1018,1016,1015,14,8,0,21,5,,0.00,,Fog,47
2014-3-25,26,19,11,15,13,11,94,67,36,1022,1020,1018,14,12,8,16,10,,0.00,1,,132
2014-3-26,24,19,14,19,17,14,100,86,64,1023,1021,1018,14,9,1,14,11,,0.00,4,,113
2014-3-27,25,20,16,21,18,16,100,94,67,1019,1015,1012,11,5,0,13,6,,8.89,5,Fog-Rain-Thunderstorm,108
2014-3-28,27,22,16,20,18,16,100,85,53,1013,1012,1008,14,6,0,16,6,,0.00,3,Fog,30
2014-3-29,30,25,20,21,19,16,100,74,44,1010,1007,1002,14,12,8,24,10,,17.02,7,Rain-Thunderstorm,23
2014-3-30,23,19,14,21,17,9,100,87,49,1013,1004,999,14,8,1,34,13,60,7.87,8,Rain,163
2014-3-31,23,16,9,14,9,5,88,64,26,1020,1017,1014,14,13,10,21,11,,0.00,6,,129
